cartridge,range,sqrtSprd,sdGrp
1,10,3.01,0.119
1,10,3.02,0.119
1,10,3.29,0.119
1,10,3,0.119
1,10,3.2,0.119
1,10,3.11,0.119
1,20,5.57,0.278
1,20,5,0.278
1,20,5.42,0.278
1,20,5.73,0.278
1,20,5.29,0.278
1,20,5.1,0.278
1,30,8.09,0.685
1,30,6.8,0.685
1,30,7.95,0.685
1,30,8.62,0.685
1,30,8.41,0.685
1,30,8.62,0.685
1,40,10.81,1.232
1,40,10.19,1.232
1,40,13.01,1.232
1,40,11.17,1.232
1,40,11.33,1.232
1,40,9.35,1.232
1,50,16.07,1.996
1,50,14.9,1.996
1,50,17.47,1.996
1,50,14.21,1.996
1,50,13.13,1.996
1,50,11.93,1.996
2,10,2.6,0.413
2,10,3.35,0.413
2,10,3.33,0.413
2,10,3.06,0.413
2,10,3.38,0.413
2,10,3.85,0.413
2,20,6.84,0.453
2,20,6.32,0.453
2,20,6.96,0.453
2,20,5.85,0.453
2,20,5.95,0.453
2,20,6.29,0.453
2,30,6.51,1.393
2,30,6.72,1.393
2,30,8.24,1.393
2,30,7.38,1.393
2,30,9.84,1.393
2,30,9.42,1.393
2,40,10.28,2.183
2,40,11.47,2.183
2,40,14.1,2.183
2,40,12.54,2.183
2,40,16.13,2.183
2,40,11.03,2.183
2,50,11.8,2.904
2,50,13.74,2.904
2,50,15.18,2.904
2,50,20.13,2.904
2,50,16.94,2.904
2,50,14.09,2.904
